"district","county","year","subcounty","parish","school_name","ownership","gender","grade","value","location_code","facility_id"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Gayaza CU Primary School","Government","Female","Division X","","D01S09P04","gayaza-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Misanga","Misanga CU Primary School","Government","Male","Division 1","","D01S09P06","misanga-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Misanga","Misanga CU Primary School","Government","Female","Division 1","","D01S09P06","misanga-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Misanga","Misanga CU Primary School","Government","Male","Division 2","2.0","D01S09P06","misanga-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Misanga","Misanga CU Primary School","Government","Female","Division 2","1.0","D01S09P06","misanga-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Misanga","Misanga CU Primary School","Government","Male","Division 3","3.0","D01S09P06","misanga-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Misanga","Misanga CU Primary School","Government","Female","Division 3","1.0","D01S09P06","misanga-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Misanga","Misanga CU Primary School","Government","Male","Division 4","1.0","D01S09P06","misanga-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Misanga","Misanga CU Primary School","Government","Female","Division 4","1.0","D01S09P06","misanga-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Misanga","Misanga CU Primary School","Government","Male","Division U","7.0","D01S09P06","misanga-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Misanga","Misanga CU Primary School","Government","Female","Division U","7.0","D01S09P06","misanga-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Misanga","Misanga CU Primary School","Government","Male","Division X","","D01S09P06","misanga-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Misanga","Misanga CU Primary School","Government","Female","Division X","","D01S09P06","misanga-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Mugongo","Mugongo Primary School","Government","Male","Division 1","","D01S09P07","mugongo-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Mugongo","Mugongo Primary School","Government","Female","Division 1","","D01S09P07","mugongo-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Mugongo","Mugongo Primary School","Government","Male","Division 2","1.0","D01S09P07","mugongo-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Mugongo","Mugongo Primary School","Government","Female","Division 2","","D01S09P07","mugongo-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Mugongo","Mugongo Primary School","Government","Male","Division 3","5.0","D01S09P07","mugongo-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Mugongo","Mugongo Primary School","Government","Female","Division 3","3.0","D01S09P07","mugongo-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Mugongo","Mugongo Primary School","Government","Male","Division 4","","D01S09P07","mugongo-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Mugongo","Mugongo Primary School","Government","Female","Division 4","2.0","D01S09P07","mugongo-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Mugongo","Mugongo Primary School","Government","Male","Division U","2.0","D01S09P07","mugongo-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Mugongo","Mugongo Primary School","Government","Female","Division U","2.0","D01S09P07","mugongo-primary-school_kayunga"
