"district","county","subcounty","year","level","ownership","value","location_code","thematic_area"
"Kayunga","Bbaale","Kitimbwa Town Council","2023","Primary","Government","8","D01S13","education"
"Kayunga","Bbaale","Kitimbwa Town Council","2023","Primary","Private","15","D01S13","education"
"Kayunga","Bbaale","Kitimbwa Town Council","2023","Secondary","Government","0","D01S13","education"
"Kayunga","Bbaale","Kitimbwa Town Council","2023","Secondary","Private","3","D01S13","education"
"Kayunga","Bbaale","Kitimbwa Town Council","2023","Tertiary","Government","0","D01S13","education"
"Kayunga","Bbaale","Kitimbwa Town Council","2023","Tertiary","Private","0","D01S13","education"
"Kayunga","Ntenjeru","Nazigo","2023","Primary","Government","15","D01S04","education"
"Kayunga","Ntenjeru","Nazigo","2023","Primary","Private","30","D01S04","education"
"Kayunga","Ntenjeru","Nazigo","2023","Secondary","Government","1","D01S04","education"
"Kayunga","Ntenjeru","Nazigo","2023","Secondary","Private","5","D01S04","education"
"Kayunga","Ntenjeru","Nazigo","2023","Tertiary","Government","0","D01S04","education"
"Kayunga","Ntenjeru","Nazigo","2023","Tertiary","Private","1","D01S04","education"
"Kayunga","Ntenjeru","Nazigo Town Council","2023","Primary","Government","4","D01S03","education"
"Kayunga","Ntenjeru","Nazigo Town Council","2023","Primary","Private","9","D01S03","education"
"Kayunga","Ntenjeru","Nazigo Town Council","2023","Secondary","Government","1","D01S03","education"
"Kayunga","Ntenjeru","Nazigo Town Council","2023","Secondary","Private","2","D01S03","education"
"Kayunga","Ntenjeru","Nazigo Town Council","2023","Tertiary","Government","0","D01S03","education"
"Kayunga","Ntenjeru","Nazigo Town Council","2023","Tertiary","Private","0","D01S03","education"
"Kayunga","Bbaale","Bbaale","2022","Primary","Government","6","D01S09","education"
"Kayunga","Bbaale","Bbaale","2022","Primary","Private","2","D01S09","education"
"Kayunga","Bbaale","Bbaale","2022","Secondary","Government","1","D01S09","education"
"Kayunga","Bbaale","Bbaale","2022","Secondary","Private","1","D01S09","education"
"Kayunga","Bbaale","Bbaale","2022","Tertiary","Government","0","D01S09","education"
"Kayunga","Bbaale","Bbaale","2022","Tertiary","Private","0","D01S09","education"
"Kayunga","Ntenjeru","Busaana","2022","Primary","Government","21","D01S08","education"
"Kayunga","Ntenjeru","Busaana","2022","Primary","Private","16","D01S08","education"
"Kayunga","Ntenjeru","Busaana","2022","Secondary","Government","1","D01S08","education"
