district,county,subcounty,year,level,ownership,value
Kayunga,Bbaale,Kitimbwa Town Council,2023,Primary,Private,15
Kayunga,Bbaale,Kitimbwa Town Council,2023,Secondary,Government,0
Kayunga,Bbaale,Kitimbwa Town Council,2023,Secondary,Private,3
Kayunga,Bbaale,Kitimbwa Town Council,2023,Tertiary,Government,0
Kayunga,Bbaale,Kitimbwa Town Council,2023,Tertiary,Private,0
Kayunga,Ntenjeru,Nazigo,2023,Primary,Government,15
Kayunga,Ntenjeru,Nazigo,2023,Primary,Private,30
Kayunga,Ntenjeru,Nazigo,2023,Secondary,Government,1
Kayunga,Ntenjeru,Nazigo,2023,Secondary,Private,5
Kayunga,Ntenjeru,Nazigo,2023,Tertiary,Government,0
Kayunga,Ntenjeru,Nazigo,2023,Tertiary,Private,1
Kayunga,Ntenjeru,Nazigo Town Council,2023,Primary,Government,4
Kayunga,Ntenjeru,Nazigo Town Council,2023,Primary,Private,9
Kayunga,Ntenjeru,Nazigo Town Council,2023,Secondary,Government,1
Kayunga,Ntenjeru,Nazigo Town Council,2023,Secondary,Private,2
Kayunga,Ntenjeru,Nazigo Town Council,2023,Tertiary,Government,0
Kayunga,Ntenjeru,Nazigo Town Council,2023,Tertiary,Private,0
Kayunga,Bbaale,Bbaale,2022,Primary,Government,6
Kayunga,Bbaale,Bbaale,2022,Primary,Private,2
Kayunga,Bbaale,Bbaale,2022,Secondary,Government,1
Kayunga,Bbaale,Bbaale,2022,Secondary,Private,1
Kayunga,Bbaale,Bbaale,2022,Tertiary,Government,0
Kayunga,Bbaale,Bbaale,2022,Tertiary,Private,0
Kayunga,Ntenjeru,Busaana,2022,Primary,Government,21
Kayunga,Ntenjeru,Busaana,2022,Primary,Private,16
Kayunga,Ntenjeru,Busaana,2022,Secondary,Government,1
Kayunga,Ntenjeru,Busaana,2022,Secondary,Private,2
Kayunga,Ntenjeru,Busaana,2022,Tertiary,Government,0
Kayunga,Ntenjeru,Busaana,2022,Tertiary,Private,0
Kayunga,Ntenjeru,Busaana Town Council,2022,Primary,Government,9
Kayunga,Ntenjeru,Busaana Town Council,2022,Primary,Private,7
Kayunga,Ntenjeru,Busaana Town Council,2022,Secondary,Government,1
Kayunga,Ntenjeru,Busaana Town Council,2022,Secondary,Private,1
Kayunga,Ntenjeru,Busaana Town Council,2022,Tertiary,Government,0
Kayunga,Ntenjeru,Busaana Town Council,2022,Tertiary,Private,0
Kayunga,Bbaale,Galiraya,2022,Primary,Government,11
Kayunga,Bbaale,Galiraya,2022,Primary,Private,2
Kayunga,Bbaale,Galiraya,2022,Secondary,Government,1
Kayunga,Bbaale,Galiraya,2022,Secondary,Private,1
Kayunga,Bbaale,Galiraya,2022,Tertiary,Government,0
Kayunga,Bbaale,Galiraya,2022,Tertiary,Private,0
Kayunga,Ntenjeru,Kangulumira,2022,Primary,Government,9
Kayunga,Ntenjeru,Kangulumira,2022,Primary,Private,12
Kayunga,Ntenjeru,Kangulumira,2022,Secondary,Government,0
Kayunga,Ntenjeru,Kangulumira,2022,Secondary,Private,3
Kayunga,Ntenjeru,Kangulumira,2022,Tertiary,Government,1
Kayunga,Ntenjeru,Kangulumira,2022,Tertiary,Private,0
Kayunga,Ntenjeru,Kangulumira Town Council,2022,Primary,Government,9
Kayunga,Ntenjeru,Kangulumira Town Council,2022,Primary,Private,21
Kayunga,Ntenjeru,Kangulumira Town Council,2022,Secondary,Government,1
Kayunga,Ntenjeru,Kangulumira Town Council,2022,Secondary,Private,3
Kayunga,Ntenjeru,Kangulumira Town Council,2022,Tertiary,Government,0
Kayunga,Ntenjeru,Kangulumira Town Council,2022,Tertiary,Private,0
Kayunga,Bbaale,Kayonza,2022,Primary,Government,31
Kayunga,Bbaale,Kayonza,2022,Primary,Private,21
Kayunga,Bbaale,Kayonza,2022,Secondary,Government,1
Kayunga,Bbaale,Kayonza,2022,Secondary,Private,1
Kayunga,Bbaale,Kayonza,2022,Tertiary,Government,0
Kayunga,Bbaale,Kayonza,2022,Tertiary,Private,0
Kayunga,Ntenjeru,Kayunga,2022,Primary,Government,19
Kayunga,Ntenjeru,Kayunga,2022,Primary,Private,45
Kayunga,Ntenjeru,Kayunga,2022,Secondary,Government,1
Kayunga,Ntenjeru,Kayunga,2022,Secondary,Private,5
Kayunga,Ntenjeru,Kayunga,2022,Tertiary,Government,0
Kayunga,Ntenjeru,Kayunga,2022,Tertiary,Private,1
Kayunga,Ntenjeru,Kayunga Town Council,2022,Primary,Government,7
Kayunga,Ntenjeru,Kayunga Town Council,2022,Primary,Private,25
Kayunga,Ntenjeru,Kayunga Town Council,2022,Secondary,Government,2
Kayunga,Ntenjeru,Kayunga Town Council,2022,Secondary,Private,4
Kayunga,Ntenjeru,Kayunga Town Council,2022,Tertiary,Government,0
Kayunga,Ntenjeru,Kayunga Town Council,2022,Tertiary,Private,0
Kayunga,Bbaale,Kitimbwa,2022,Primary,Government,18
Kayunga,Bbaale,Kitimbwa,2022,Primary,Private,8
Kayunga,Bbaale,Kitimbwa,2022,Secondary,Government,1
Kayunga,Bbaale,Kitimbwa,2022,Secondary,Private,0
Kayunga,Bbaale,Kitimbwa,2022,Tertiary,Government,0
Kayunga,Bbaale,Kitimbwa,2022,Tertiary,Private,1
Kayunga,Bbaale,Kitimbwa Town Council,2022,Primary,Government,8
Kayunga,Bbaale,Kitimbwa Town Council,2022,Primary,Private,5
Kayunga,Bbaale,Kitimbwa Town Council,2022,Secondary,Government,0
Kayunga,Bbaale,Kitimbwa Town Council,2022,Secondary,Private,3
Kayunga,Bbaale,Kitimbwa Town Council,2022,Tertiary,Government,0
Kayunga,Bbaale,Kitimbwa Town Council,2022,Tertiary,Private,0
Kayunga,Ntenjeru,Nazigo,2022,Primary,Government,15
Kayunga,Ntenjeru,Nazigo,2022,Primary,Private,50
Kayunga,Ntenjeru,Nazigo,2022,Secondary,Government,1
Kayunga,Ntenjeru,Nazigo,2022,Secondary,Private,5
Kayunga,Ntenjeru,Nazigo,2022,Tertiary,Government,0
Kayunga,Ntenjeru,Nazigo,2022,Tertiary,Private,1
Kayunga,Ntenjeru,Nazigo Town Council,2022,Primary,Government,4
Kayunga,Ntenjeru,Nazigo Town Council,2022,Primary,Private,5
Kayunga,Ntenjeru,Nazigo Town Council,2022,Secondary,Government,1
Kayunga,Ntenjeru,Nazigo Town Council,2022,Secondary,Private,2
Kayunga,Ntenjeru,Nazigo Town Council,2022,Tertiary,Government,0
Kayunga,Ntenjeru,Nazigo Town Council,2022,Tertiary,Private,0
Kayunga,Bbaale,Bbaale,2021,Primary,Government,6
Kayunga,Bbaale,Bbaale,2021,Primary,Private,16
Kayunga,Bbaale,Bbaale,2021,Secondary,Government,1
Kayunga,Bbaale,Bbaale,2021,Secondary,Private,1
Kayunga,Bbaale,Bbaale,2021,Tertiary,Government,0
Kayunga,Bbaale,Bbaale,2021,Tertiary,Private,0
Kayunga,Ntenjeru,Busaana,2021,Primary,Government,21
Kayunga,Ntenjeru,Busaana,2021,Primary,Private,16
Kayunga,Ntenjeru,Busaana,2021,Secondary,Government,1
Kayunga,Ntenjeru,Busaana,2021,Secondary,Private,2
Kayunga,Ntenjeru,Busaana,2021,Tertiary,Government,0
Kayunga,Ntenjeru,Busaana,2021,Tertiary,Private,0
Kayunga,Ntenjeru,Busaana Town Council,2021,Primary,Government,9
Kayunga,Ntenjeru,Busaana Town Council,2021,Primary,Private,7
Kayunga,Ntenjeru,Busaana Town Council,2021,Secondary,Government,1
Kayunga,Ntenjeru,Busaana Town Council,2021,Secondary,Private,1
Kayunga,Ntenjeru,Busaana Town Council,2021,Tertiary,Government,0
Kayunga,Ntenjeru,Busaana Town Council,2021,Tertiary,Private,0
Kayunga,Bbaale,Galiraya,2021,Primary,Government,11
Kayunga,Bbaale,Galiraya,2021,Primary,Private,2
Kayunga,Bbaale,Galiraya,2021,Secondary,Government,1
Kayunga,Bbaale,Galiraya,2021,Secondary,Private,1
Kayunga,Bbaale,Galiraya,2021,Tertiary,Government,0
Kayunga,Bbaale,Galiraya,2021,Tertiary,Private,0
Kayunga,Ntenjeru,Kangulumira,2021,Primary,Government,9
Kayunga,Ntenjeru,Kangulumira,2021,Primary,Private,24
Kayunga,Ntenjeru,Kangulumira,2021,Secondary,Government,0
Kayunga,Ntenjeru,Kangulumira,2021,Secondary,Private,3
Kayunga,Ntenjeru,Kangulumira,2021,Tertiary,Government,1
Kayunga,Ntenjeru,Kangulumira,2021,Tertiary,Private,0
Kayunga,Ntenjeru,Kangulumira Town Council,2021,Primary,Government,9
Kayunga,Ntenjeru,Kangulumira Town Council,2021,Primary,Private,21
Kayunga,Ntenjeru,Kangulumira Town Council,2021,Secondary,Government,1
Kayunga,Ntenjeru,Kangulumira Town Council,2021,Secondary,Private,3
