district,county,year,subcounty,parish,school_name,ownership,gender,grade,value
Kayunga,Bbaale,2018,Kayonza,Namaliri,Kayonza Primary School,Government,Male,Division 4,7
Kayunga,Bbaale,2018,Kayonza,Namaliri,Kayonza Primary School,Government,Female,Division 4,6
Kayunga,Bbaale,2018,Kayonza,Namaliri,Kayonza Primary School,Government,Male,Division U,10
Kayunga,Bbaale,2018,Kayonza,Namaliri,Kayonza Primary School,Government,Female,Division U,12
Kayunga,Bbaale,2018,Kayonza,Namaliri,Kayonza Primary School,Government,Male,Division X,
Kayunga,Bbaale,2018,Kayonza,Namaliri,Kayonza Primary School,Government,Female,Division X,
Kayunga,Bbaale,2018,Kayonza,Nakyesanja,Kirimantoogo RC Primary School,Government,Male,Division 1,
Kayunga,Bbaale,2018,Kayonza,Nakyesanja,Kirimantoogo RC Primary School,Government,Female,Division 1,
Kayunga,Bbaale,2018,Kayonza,Nakyesanja,Kirimantoogo RC Primary School,Government,Male,Division 2,2
Kayunga,Bbaale,2018,Kayonza,Nakyesanja,Kirimantoogo RC Primary School,Government,Female,Division 2,1
Kayunga,Bbaale,2018,Kayonza,Nakyesanja,Kirimantoogo RC Primary School,Government,Male,Division 3,2
Kayunga,Bbaale,2018,Kayonza,Nakyesanja,Kirimantoogo RC Primary School,Government,Female,Division 3,2
Kayunga,Bbaale,2018,Kayonza,Nakyesanja,Kirimantoogo RC Primary School,Government,Male,Division 4,4
Kayunga,Bbaale,2018,Kayonza,Nakyesanja,Kirimantoogo RC Primary School,Government,Female,Division 4,2
Kayunga,Bbaale,2018,Kayonza,Nakyesanja,Kirimantoogo RC Primary School,Government,Male,Division U,13
Kayunga,Bbaale,2018,Kayonza,Nakyesanja,Kirimantoogo RC Primary School,Government,Female,Division U,10
Kayunga,Bbaale,2018,Kayonza,Nakyesanja,Kirimantoogo RC Primary School,Government,Male,Division X,
Kayunga,Bbaale,2018,Kayonza,Nakyesanja,Kirimantoogo RC Primary School,Government,Female,Division X,
Kayunga,Bbaale,2018,Kayonza,Kitwe,Kitwe RC Primary School,Government,Male,Division 1,
Kayunga,Bbaale,2018,Kayonza,Kitwe,Kitwe RC Primary School,Government,Female,Division 1,
Kayunga,Bbaale,2018,Kayonza,Kitwe,Kitwe RC Primary School,Government,Male,Division 2,3
Kayunga,Bbaale,2018,Kayonza,Kitwe,Kitwe RC Primary School,Government,Female,Division 2,6
Kayunga,Bbaale,2018,Kayonza,Kitwe,Kitwe RC Primary School,Government,Male,Division 3,20
Kayunga,Bbaale,2018,Kayonza,Kitwe,Kitwe RC Primary School,Government,Female,Division 3,7
Kayunga,Bbaale,2018,Kayonza,Kitwe,Kitwe RC Primary School,Government,Male,Division 4,6
Kayunga,Bbaale,2018,Kayonza,Kitwe,Kitwe RC Primary School,Government,Female,Division 4,5
Kayunga,Bbaale,2018,Kayonza,Kitwe,Kitwe RC Primary School,Government,Male,Division U,8
Kayunga,Bbaale,2018,Kayonza,Kitwe,Kitwe RC Primary School,Government,Female,Division U,4
Kayunga,Bbaale,2018,Kayonza,Kitwe,Kitwe RC Primary School,Government,Male,Division X,3
Kayunga,Bbaale,2018,Kayonza,Kitwe,Kitwe RC Primary School,Government,Female,Division X,1
Kayunga,Bbaale,2018,Kayonza,Namizo,Kyebuye RC Primary School,Government,Male,Division 1,
Kayunga,Bbaale,2018,Kayonza,Namizo,Kyebuye RC Primary School,Government,Female,Division 1,
Kayunga,Bbaale,2018,Kayonza,Namizo,Kyebuye RC Primary School,Government,Male,Division 2,2
Kayunga,Bbaale,2018,Kayonza,Namizo,Kyebuye RC Primary School,Government,Female,Division 2,1
Kayunga,Bbaale,2018,Kayonza,Namizo,Kyebuye RC Primary School,Government,Male,Division 3,2
Kayunga,Bbaale,2018,Kayonza,Namizo,Kyebuye RC Primary School,Government,Female,Division 3,2
Kayunga,Bbaale,2018,Kayonza,Namizo,Kyebuye RC Primary School,Government,Male,Division 4,2
Kayunga,Bbaale,2018,Kayonza,Namizo,Kyebuye RC Primary School,Government,Female,Division 4,1
