District name,Sub county,Parish,Village,Name of the school,School type,Does the school have Pre-primary education (ECD/Nursery),Total number of learners,Number of boys,Number of girls,Number of learners with disabilities (boys/girls),Total number of teachers,Number of male teachers,Number of Female teachers,Number of teachers on government payroll ,Number of teachers qualified by Diploma,Number of teachers qualified degree and above,Number of teachers qualified by certificate,Number of classroom blocks,"Of these, how many are permanent classrooms",How many are semi-permanent classrooms,How many are temporary classrooms,Number of Toilets,Are there separate toilets for boys and girls? ,"if yes, Number of toilets available for boys","if yes, Number of toilets available for girls",Are there separate toilets for teachers,"if yes, Number of toilets available for teachers",Are toilets accommodative for people with Disabilities e.g walking,Is water available at the school? ,Is there a handwashing point available at school,Does the school have electricity? ,Does the school have an ICT/computer lab? ,"On average, how many pupils does one classroom accommodate /how many learners sit in one classroom (Pupil-classroom ratio)","On average, how pupils does on teacher attend to /teach in this school (Average pupil–teacher ratio)",Pupil-text book ratio-on average one book is used by how many pupils?,"Pupil–toilet ratio( On average, how many pupils use one toilet ?",Take a photo of paper/chat showing enrolment of last term,Take a photo of paper/chat showing enrolment of last term_URL,Photo showing front view of the school,Photo showing front view of the school_URL,Geo location of the school,_Geo location of the school_latitude,_Geo location of the school_longitude,_Geo location of the school_altitude,_Geo location of the school_precision,_id,_uuid
Masindi,Bikonzi ,Bikonzi ,Kihoole,Kihoole primary ,Government,Yes,228,123,105,32,8,2,6,8,6,1,1,7,7,0,0,8,Yes,4,4,No,,No,Yes,Yes,No,No,33,33,33,33,1758018991745.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fad8750af-8bfc-4726-a8e1-f857dffc402c%2F1758018991745.jpg,1758019026705.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fad8750af-8bfc-4726-a8e1-f857dffc402c%2F1758019026705.jpg,1.5777985 31.6355231 1145.9 4.966,1.5777985,31.6355231,1145.9,4.966,560331443,ad8750af-8bfc-4726-a8e1-f857dffc402c
Masindi,Bikonzi ,Bikonzi ,Isagara kiryasenka,Isagara Primary School ,Government,Yes,515,253,262,56,9,3,6,9,4,1,4,9,9,0,0,4,Yes,1,2,Yes,1,Yes,Yes,Yes,Yes,No,57,57,5,172,1758022384873.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Ffe0da199-1910-4aaa-b4ac-f9a0a3dcad07%2F1758022384873.jpg,1758022432215.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Ffe0da199-1910-4aaa-b4ac-f9a0a3dcad07%2F1758022432215.jpg,1.5938864 31.617042 1141.1 3.26,1.5938864,31.617042,1141.1,3.26,560331494,fe0da199-1910-4aaa-b4ac-f9a0a3dcad07
Masindi,Bikonzi ,Bikonzi ,Ikoba ,Ikoba Girls Secondary School ,Government,No,191,0,191,0,20,15,5,20,14,6,0,4,4,0,0,4,No,,,Yes,2,No,Yes,Yes,Yes,Yes,48,191,4,96,1758025786400.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F8f696858-4275-45bc-bddd-9affc1991082%2F1758025786400.jpg,1758025837287.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F8f696858-4275-45bc-bddd-9affc1991082%2F1758025837287.jpg,1.5920346 31.6478948 1196.7 3.62,1.5920346,31.6478948,1196.7,3.62,560331549,8f696858-4275-45bc-bddd-9affc1991082
Masindi,Bikonzi ,Bikonzi ,Kyoneko,Kinywamurara Primary School ,Government,Yes,324,162,162,52,8,4,4,8,4,1,3,8,8,0,0,10,Yes,4,4,Yes,2,No,Yes,Yes,No,No,46,41,3,41,1758028893825.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fe77143a9-e747-488a-93d1-a5f8c446fd2d%2F1758028893825.jpg,1758029145656.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fe77143a9-e747-488a-93d1-a5f8c446fd2d%2F1758029145656.jpg,1.5660323 31.6890958 1143.8 4.9,1.5660323,31.6890958,1143.8,4.9,560331590,e77143a9-e747-488a-93d1-a5f8c446fd2d
Masindi,Bikonzi ,Kikuube,Kikuube ,Kikuube Primary School ,Government,Yes,320,162,158,77,8,5,3,8,5,1,2,4,4,0,0,2,Yes,1,1,No,,Yes,No,Yes,No,No,50,40,4,32,1758030558540.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F2a7fceb4-76dd-4552-8c44-849d92d13224%2F1758030558540.jpg,1758030619107.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F2a7fceb4-76dd-4552-8c44-849d92d13224%2F1758030619107.jpg,1.5544825 31.6614756 1123.5 4.24,1.5544825,31.6614756,1123.5,4.24,560331662,2a7fceb4-76dd-4552-8c44-849d92d13224
Masindi,Bikonzi ,Kitonozi,Kitonozi ,Kitonozi Primary School ,Government,Yes,450,234,216,57,9,5,4,9,1,3,5,8,8,0,0,10,Yes,5,5,No,,Yes,Yes,Yes,No,No,56,50,4,46,1758085821354.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fa3a1a8fa-dba8-4892-b15a-8fba6cecc414%2F1758085821354.jpg,1758085870804.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fa3a1a8fa-dba8-4892-b15a-8fba6cecc414%2F1758085870804.jpg,1.6311932 31.6500146 1136.0 4.85,1.6311932,31.6500146,1136,4.85,560844781,a3a1a8fa-dba8-4892-b15a-8fba6cecc414
Masindi,Bikonzi ,Rukondwa,Kiina,Kiina Primary School ,Government,Yes,515,278,237,108,9,3,6,9,4,1,4,8,8,0,0,11,Yes,5,3,Yes,3,No,Yes,Yes,Yes,No,74,57,5,74,1758087371568.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F3491351d-ee0f-4a05-b273-b2e27f7c8399%2F1758087371568.jpg,1758087414176.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F3491351d-ee0f-4a05-b273-b2e27f7c8399%2F1758087414176.jpg,1.6046833 31.6620817 1232.1 4.7,1.6046833,31.6620817,1232.1,4.7,560845373,3491351d-ee0f-4a05-b273-b2e27f7c8399
Masindi,Bikonzi ,Bikonzi ,Bikonzi II,Masindi Center For The Handicapped ,Government,No,153,77,76,153,14,4,10,14,6,3,5,13,13,0,0,14,Yes,7,7,No,,Yes,Yes,Yes,Yes,No,11,11,1,11,1758089989701.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F4d25a356-1bb5-4721-8eef-ba450efbd393%2F1758089989701.jpg,1758090046210.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F4d25a356-1bb5-4721-8eef-ba450efbd393%2F1758090046210.jpg,1.5925275 31.659447 1226.7 4.52,1.5925275,31.659447,1226.7,4.52,560845474,4d25a356-1bb5-4721-8eef-ba450efbd393
Masindi,Bikonzi ,Rukondwa ,Rukondwa ,Rukondwa Primary School ,Government,Yes,287,139,148,31,9,4,5,9,3,1,5,7,7,0,0,14,Yes,5,5,Yes,4,Yes,Yes,Yes,Yes,No,41,32,6,28,1758099417590.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fa8bbdf5e-68ef-461a-851e-9fc203349c60%2F1758099417590.jpg,1758099476605.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fa8bbdf5e-68ef-461a-851e-9fc203349c60%2F1758099476605.jpg,1.6239937 31.6869146 1142.4 3.86,1.6239937,31.6869146,1142.4,3.86,560862328,a8bbdf5e-68ef-461a-851e-9fc203349c60
Masindi,Bikonzi ,Bikonzi ,Ikoba ,Ikoba Girls Primary School ,Government,Yes,190,0,190,27,10,4,6,8,4,0,6,7,7,0,0,8,No,,,Yes,2,Yes,Yes,Yes,Yes,No,22,19,2,22,1758095709738.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F4b549bed-5ff7-4a04-b331-965668688e66%2F1758095709738.jpg,1758095820295.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F4b549bed-5ff7-4a04-b331-965668688e66%2F1758095820295.jpg,1.5936968 31.6485775 1187.3 4.78,1.5936968,31.6485775,1187.3,4.78,560862566,4b549bed-5ff7-4a04-b331-965668688e66
Masindi,Bikonzi ,Bikonzi ,Ikoba ,Ikoba Boys Primary School ,Government,No,158,158,0,30,8,3,5,8,3,1,4,7,7,0,0,5,No,,,No,,Yes,Yes,Yes,No,No,20,20,4,32,1758093744110.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F8de98809-868d-4401-9a49-2d3d40e2df32%2F1758093744110.jpg,1758094131891.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F8de98809-868d-4401-9a49-2d3d40e2df32%2F1758094131891.jpg,1.5965512 31.6505297 1168.8 4.84,1.5965512,31.6505297,1168.8,4.84,560862775,8de98809-868d-4401-9a49-2d3d40e2df32
Masindi,Bikonzi ,Rukondwa ,Kichandi,Kichandi Primary School ,Government,Yes,456,243,213,0,8,4,4,8,2,1,5,8,8,0,0,14,Yes,5,5,No,,No,Yes,Yes,No,No,45,57,3,47,1758091400363.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F3ab24c0e-e3ed-4532-a8a7-9246535114aa%2F1758091400363.jpg,1758091590532.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F3ab24c0e-e3ed-4532-a8a7-9246535114aa%2F1758091590532.jpg,1.6028745 31.6972387 1175.5 4.833,1.6028745,31.6972387,1175.5,4.833,560862966,3ab24c0e-e3ed-4532-a8a7-9246535114aa
Masindi,BUDONGO,KASONGOIRE,KISAGURA,KASONGOIRE PRIMARY SCH,Government,No,351,181,170,15,7,4,3,6,1,1,5,3,3,0,0,12,Yes,5,5,Yes,2,Yes,Yes,Yes,No,No,40,50,3,35,1758003268614.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F94acf2a3-9fa1-4c49-849b-084d322cbb21%2F1758003268614.jpg,1758003399199.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F94acf2a3-9fa1-4c49-849b-084d322cbb21%2F1758003399199.jpg,1.583585 31.5564434 1181.845 1.55,1.583585,31.5564434,1181.845,1.55,560377649,94acf2a3-9fa1-4c49-849b-084d322cbb21
Masindi,BUDONGO,KASONGOIRE,KIMANYA 1,KIMANYA PRIMARY SCH.,Government,No,465,247,218,28,9,4,5,9,3,1,5,3,7,0,0,15,Yes,10,5,No,,Yes,Yes,Yes,No,No,66,52,3,31,1758006366141.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F101bf9cf-bbe5-412f-91d2-e7a7299206fc%2F1758006366141.jpg,1758006406309.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F101bf9cf-bbe5-412f-91d2-e7a7299206fc%2F1758006406309.jpg,1.5824592 31.516872 1136.868 0.807,1.5824592,31.516872,1136.868,0.807,560378436,101bf9cf-bbe5-412f-91d2-e7a7299206fc
Masindi,BUDONGO,KARONGO,KARONGO,KARONGO PRIMARY SCH,Government,No,915,479,436,115,9,6,3,9,2,2,5,3,7,0,0,10,Yes,5,5,No,,No,Yes,Yes,Yes,No,131,102,10,92,1758024685870.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F55129f70-331b-49df-9711-65899f92359c%2F1758024685870.jpg,1758024754773.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F55129f70-331b-49df-9711-65899f92359c%2F1758024754773.jpg,1.6728005 31.5123992 1056.629 1.054,1.6728005,31.5123992,1056.629,1.054,560947997,55129f70-331b-49df-9711-65899f92359c
Masindi,BUDONGO,NYABYEYA,Nyakafunjo,BUDONGO SAW MILLS PRI.SCH.,Government,No,227,127,100,61,7,4,3,7,4,1,2,4,8,0,0,10,Yes,5,5,No,,Yes,Yes,Yes,No,No,35,35,3,23,1758026523299.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Faa595144-5e05-45b4-afb9-122f62711052%2F1758026523299.jpg,1758026627154.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Faa595144-5e05-45b4-afb9-122f62711052%2F1758026627154.jpg,1.6929115 31.539469 1072.903 4.982,1.6929115,31.539469,1072.903,4.982,560949813,aa595144-5e05-45b4-afb9-122f62711052
Masindi,BUDONGO,NYABYEYA,NYABYEYA,NYABYEYA PRIMARY SCH,Government,Yes,1807,906,901,214,20,5,15,20,12,3,5,6,10,5,0,15,Yes,10,5,No,,Yes,Yes,Yes,Yes,No,120,90,5,120,1758029749245.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6de866f2-a5d3-4d04-ace5-1a44077c70ac%2F1758029749245.jpg,1758029831779.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6de866f2-a5d3-4d04-ace5-1a44077c70ac%2F1758029831779.jpg,1.6753291 31.5474469 1127.745 4.912,1.6753291,31.5474469,1127.745,4.912,560950000,6de866f2-a5d3-4d04-ace5-1a44077c70ac
Masindi,BUDONGO,KASONGOIRE,BULYANGO,BULYANGO PUB. PRIMARY SCH,Government,No,514,294,220,50,10,3,7,9,1,2,6,7,7,0,0,12,Yes,5,5,Yes,2,Yes,Yes,Yes,No,No,74,74,4,52,1758096858581.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F1f2dd3b2-c17d-4c18-9ebf-c6630a848059%2F1758096858581.jpg,1758096934681.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F1f2dd3b2-c17d-4c18-9ebf-c6630a848059%2F1758096934681.jpg,1.6229355 31.5337608 1084.798 2.185,1.6229355,31.5337608,1084.798,2.185,561022418,1f2dd3b2-c17d-4c18-9ebf-c6630a848059
Masindi,Bulima Town Council ,Kahembe,Kisalizi,Kisalizi ,Government,Yes,438,223,215,29,10,4,6,10,6,2,2,7,7,0,0,11,Yes,5,6,Yes,2,Yes,Yes,Yes,No,No,60,53,5,44,1758005945245.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F4c9815f0-c65c-4474-9552-5e0227f8f04a%2F1758005945245.jpg,1758006078451.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F4c9815f0-c65c-4474-9552-5e0227f8f04a%2F1758006078451.jpg,1.5267345 31.5030907 992.2 4.98,1.5267345,31.5030907,992.2,4.98,560024495,4c9815f0-c65c-4474-9552-5e0227f8f04a
Masindi,Bulima Town Council ,Kahembe ,Kabagaranma,Bulima Valley Nursery And Primary ,Private,Yes,512,264,248,0,15,9,6,,1,0,14,9,9,0,0,8,Yes,3,3,Yes,2,Yes,Yes,Yes,Yes,No,60,34,3,85,1758010062922.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fdad27ccc-227b-4b19-8067-7e1de6250a78%2F1758010062922.jpg,1758010112747.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fdad27ccc-227b-4b19-8067-7e1de6250a78%2F1758010112747.jpg,1.5064711 31.5295649 1114.1 4.4,1.5064711,31.5295649,1114.1,4.4,560024721,dad27ccc-227b-4b19-8067-7e1de6250a78
Masindi,Bulima Town Council ,Marongo Ward,Marongo ,Marongo primary ,Government,Yes,460,229,230,46,9,4,5,9,5,1,2,7,7,0,0,9,Yes,5,4,No,,Yes,Yes,Yes,Yes,No,65,51,6,51,1758012858777.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fe5049031-94ca-4458-80c1-c168bbe99dce%2F1758012858777.jpg,1758012914037.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fe5049031-94ca-4458-80c1-c168bbe99dce%2F1758012914037.jpg,1.4689883 31.5551641 1136.9 4.94,1.4689883,31.5551641,1136.9,4.94,560024872,e5049031-94ca-4458-80c1-c168bbe99dce
Masindi,Bulima Town Council ,Marongo Ward ,Kayanja Cell,Sunlight Nursery And Primary ,Private,Yes,360,190,170,13,13,5,8,,0,0,5,10,10,0,0,3,Yes,1,1,Yes,1,No,No,Yes,Yes,No,36,36,5,36,1758014391808.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F150b41d4-8835-421b-8cf9-df7943c72358%2F1758014391808.jpg,1758014428337.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F150b41d4-8835-421b-8cf9-df7943c72358%2F1758014428337.jpg,1.4743688 31.5501766 1082.4 4.94,1.4743688,31.5501766,1082.4,4.94,560025201,150b41d4-8835-421b-8cf9-df7943c72358
Masindi,Bulima Town Council ,Kahembe ward,Rwenkole,Bulima primary ,Government,Yes,954,472,482,82,16,6,10,16,5,3,7,4,4,0,0,8,Yes,4,4,No,,Yes,Yes,Yes,Yes,No,136,60,5,119,1758016249591.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F4334acf8-72d1-4bf4-afce-d5c246bf6227%2F1758016249591.jpg,1758016307584.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F4334acf8-72d1-4bf4-afce-d5c246bf6227%2F1758016307584.jpg,1.5109825 31.540297 1117.4 4.933,1.5109825,31.540297,1117.4,4.933,560025435,4334acf8-72d1-4bf4-afce-d5c246bf6227
Masindi,Bulure,Siimbe,Kasomoro,St Paul's primary school ,Government,Yes,667,345,322,52,11,2,9,11,3,5,4,6,6,0,0,14,Yes,5,5,Yes,4,Yes,Yes,Yes,Yes,No,111,61,133,48,1758104953715.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F10e83fff-88e7-459d-b41c-85c9bba9b1e8%2F1758104953715.jpg,1758105537347.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F10e83fff-88e7-459d-b41c-85c9bba9b1e8%2F1758105537347.jpg,1.7637557 31.7855397 1117.873 1.603,1.7637557,31.7855397,1117.873,1.603,561048764,10e83fff-88e7-459d-b41c-85c9bba9b1e8
Masindi,Bwijanga,Ntooma,Kyabikule,Ntooma P/S,Government,Yes,831,423,400,128,11,4,7,11,8,1,2,5,5,0,0,15,Yes,5,5,Yes,5,Yes,No,Yes,Yes,No,104,76,7,83,1758021562805.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F02bf6573-177a-4789-aa7c-f82ef26e21ca%2F1758021562805.jpg,1758022103053.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F02bf6573-177a-4789-aa7c-f82ef26e21ca%2F1758022103053.jpg,1.4330875 31.6420004 1056.609 1.529,1.4330875,31.6420004,1056.609,1.529,560318287,02bf6573-177a-4789-aa7c-f82ef26e21ca
Masindi,Bwijanga,Kitamba,Kitamba,Isimba P/S,Government,Yes,344,175,169,26,8,2,6,7,2,1,5,8,8,0,0,8,Yes,4,4,No,,Yes,Yes,Yes,No,No,49,43,3,43,,,1758098160701.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fdb2b78b8-99e5-48de-a9e4-f05b360aff24%2F1758098160701.jpg,1.507388 31.5950981 1151.23 4.068,1.507388,31.5950981,1151.23,4.068,560981899,db2b78b8-99e5-48de-a9e4-f05b360aff24
Masindi,Bwijanga,Kitamba,Byerima,Byerima P/S,Government,No,138,69,69,11,8,5,3,8,5,2,1,7,7,0,0,15,Yes,5,5,Yes,5,Yes,Yes,Yes,No,No,20,17,4,14,1758029700605.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Ff0201139-4086-44c7-bf25-ff0418c37329%2F1758029700605.jpg,1758030014712.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Ff0201139-4086-44c7-bf25-ff0418c37329%2F1758030014712.jpg,1.4885385 31.6050963 1056.609 4.709,1.4885385,31.6050963,1056.609,4.709,560318058,f0201139-4086-44c7-bf25-ff0418c37329
Masindi,Bwijanga,Kitamba,Kikingura,Kikingura P/S,Government,Yes,998,481,517,141,19,5,14,12,9,1,7,13,13,0,0,14,Yes,5,7,Yes,2,Yes,Yes,Yes,Yes,No,77,75,4,77,1758011240441.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fce2c18b0-8cf5-499b-a7ef-136a00e117c7%2F1758011240441.jpg,1758011659725.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fce2c18b0-8cf5-499b-a7ef-136a00e117c7%2F1758011659725.jpg,1.487037 31.6486173 1056.609 1.74,1.487037,31.6486173,1056.609,1.74,560318166,ce2c18b0-8cf5-499b-a7ef-136a00e117c7
Masindi,Bwijanga,Kitamba,Kikingura,Kikingura Bright Junior P/S,Private,Yes,404,199,205,1,17,8,9,,2,0,15,10,4,6,0,4,Yes,2,1,Yes,1,No,Yes,No,Yes,No,36,30,36,134,1758012916946.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F69ddb147-49cd-4858-ad87-21b9b3951d81%2F1758012916946.jpg,1758013023570.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F69ddb147-49cd-4858-ad87-21b9b3951d81%2F1758013023570.jpg,1.4922045 31.6496751 1056.609 1.808,1.4922045,31.6496751,1056.609,1.808,560318204,69ddb147-49cd-4858-ad87-21b9b3951d81
Masindi,Bwijanga,Kitamba,Kikingura,Lampstand SS,Private,,128,72,56,0,10,4,6,,7,3,0,6,4,2,0,4,Yes,2,2,No,,No,No,Yes,Yes,Yes,50,5,2,30,,,,,1.4880515 31.6529313 1056.609 2.687,1.4880515,31.6529313,1056.609,2.687,560318218,9c5f72bc-4be8-438a-99b3-119cc156a469
Masindi,Bwijanga,Ntooma,Rwebugwara,Nyabubaale P/S,Government,No,244,108,136,49,9,6,3,8,3,0,6,4,4,0,0,8,Yes,5,3,No,,Yes,Yes,Yes,No,No,61,28,1,31,1758018093520.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F7669c126-1792-4710-bf84-206471c9ead1%2F1758018093520.jpg,1758018341821.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F7669c126-1792-4710-bf84-206471c9ead1%2F1758018341821.jpg,1.4333113 31.7020767 1056.609 2.019,1.4333113,31.7020767,1056.609,2.019,560318255,7669c126-1792-4710-bf84-206471c9ead1
Masindi,Bwijanga,Ntooma,Kihagani,Kihagani P/S,Government,No,200,109,91,17,5,3,2,5,2,0,3,7,6,0,1,7,Yes,2,5,No,,Yes,Yes,Yes,No,No,29,40,40,29,1758026619771.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Ffe228a16-d5c9-410a-bb2d-bf3432c3218c%2F1758026619771.jpg,1758027220880.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Ffe228a16-d5c9-410a-bb2d-bf3432c3218c%2F1758027220880.jpg,1.3575894 31.6637102 1056.609 2.683,1.3575894,31.6637102,1056.609,2.683,560318341,fe228a16-d5c9-410a-bb2d-bf3432c3218c
